# pkg-versioninfo-mutation-results-v1
mutation_id	suite_id	status	baseline_commit	named_test	exit_code	source_file	source_sha256	restore_status
M001-community-literal	P001-community-edition	KILLED	cb71e788efeaa993714c44f1ab81fbc0db48bb5f	versioninfo::tests::source_storage_class_and_override_boundaries_are_exact	100	rust/crates/tidb-util/src/versioninfo.rs	40b99dec5ff87ebbe302c65eb919c34fe6e5b11d9d0634d021c0e828de230868	PASS
M002-build-ts-classification	P002-declined-variables	KILLED	cb71e788efeaa993714c44f1ab81fbc0db48bb5f	pkg-versioninfo-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/versioninfo.inventory.tsv	b07f1659071175fc4c633f9d3cbd55bb32ce54ec743cd7a1835abbf316385953	PASS
M003-edition-classification	P002-declined-variables	KILLED	cb71e788efeaa993714c44f1ab81fbc0db48bb5f	pkg-versioninfo-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/versioninfo.inventory.tsv	b07f1659071175fc4c633f9d3cbd55bb32ce54ec743cd7a1835abbf316385953	PASS
M004-enterprise-hash-classification	P002-declined-variables	KILLED	cb71e788efeaa993714c44f1ab81fbc0db48bb5f	pkg-versioninfo-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/versioninfo.inventory.tsv	b07f1659071175fc4c633f9d3cbd55bb32ce54ec743cd7a1835abbf316385953	PASS
M005-git-branch-classification	P002-declined-variables	KILLED	cb71e788efeaa993714c44f1ab81fbc0db48bb5f	pkg-versioninfo-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/versioninfo.inventory.tsv	b07f1659071175fc4c633f9d3cbd55bb32ce54ec743cd7a1835abbf316385953	PASS
M006-git-hash-classification	P002-declined-variables	KILLED	cb71e788efeaa993714c44f1ab81fbc0db48bb5f	pkg-versioninfo-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/versioninfo.inventory.tsv	b07f1659071175fc4c633f9d3cbd55bb32ce54ec743cd7a1835abbf316385953	PASS
M007-go-source-drift	P003-source-drift	KILLED	cb71e788efeaa993714c44f1ab81fbc0db48bb5f	pkg-versioninfo-lockdown.py --inventory-only	1	pkg/util/versioninfo/versioninfo.go	daa224cf8308f7b9de126919839ed95de7028e67b989d3d1d772d60309603003	PASS
M008-bazel-artifact-drift	P004-build-drift	KILLED	cb71e788efeaa993714c44f1ab81fbc0db48bb5f	pkg-versioninfo-lockdown.py --inventory-only	1	pkg/util/versioninfo/BUILD.bazel	faa7c407b40308a834bfafc8cceef8e03b09467222d04b5ef2e49fda107ca988	PASS
M009-community-symbol-rename	P005-symbol-gate	KILLED	cb71e788efeaa993714c44f1ab81fbc0db48bb5f	versioninfo::tests::lockdown_inventory_matches_go_source_and_rust_symbols	101	rust/crates/tidb-util/src/versioninfo.rs	40b99dec5ff87ebbe302c65eb919c34fe6e5b11d9d0634d021c0e828de230868	PASS
